id,value
Ap.Fighters .Us,2210
Ap.Attackers .Us,2654
Ap.Transports .Us,5287
Ap.Trainers .Us,2789
Ap.Helicopters .Us,5875
Ap.Attack Helicopters.Us,894
Ap.Fighters .China,1002
Ap.Attackers .China,1087
Ap.Transports .China,504
Ap.Trainers .China,302
Ap.Helicopters .China,632
Ap.Attack Helicopters.China,100
