id,value
As.Combat Tanks.Us,8848
As.Armored Fighting Vechicles.Us,29897
As.Self-Propelled Artillery.Us,1874
As.Towed Artillery.Us,1299
As.Rocket Projectors.Us,1564
As.Combat Tanks.China,9150
As.Armored Fighting Vechicles.China,6543
As.Self-Propelled Artillery.China,1712
As.Towed Artillery.China,6544
As.Rocket Projectors.China,2485
