id,value
As.Combat Tanks.Us,8325
As.Armored Fighting Vechicles.Us,25782
As.Self-Propelled Artillery.Us,1897
As.Towed Artillery.Us,1791
As.Rocket Projectors.Us,1430
As.Combat Tanks.China,8564
As.Armored Fighting Vechicles.China,5543
As.Self-Propelled Artillery.China,1493
As.Towed Artillery.China,6890
As.Rocket Projectors.China,2015
