id,value
As.Combat Tanks.Us,8540
As.Armored Fighting Vechicles.Us,28759
As.Self-Propelled Artillery.Us,1869
As.Towed Artillery.Us,1299
As.Rocket Projectors.Us,1431
As.Combat Tanks.China,8755
As.Armored Fighting Vechicles.China,5966
As.Self-Propelled Artillery.China,1566
As.Towed Artillery.China,6789
As.Rocket Projectors.China,2148
