id,value
As.Combat Tanks.Us,8573
As.Armored Fighting Vechicles.Us,26653
As.Self-Propelled Artillery.Us,1780
As.Towed Artillery.Us,2163
As.Rocket Projectors.Us,1405
As.Combat Tanks.China,7966
As.Armored Fighting Vechicles.China,4857
As.Self-Propelled Artillery.China,1017
As.Towed Artillery.China,7320
As.Rocket Projectors.China,1970
