id,value
Ns.Aircraft Carriers.Us,10
Ns.Frigates   .Us,12
Ns.Destroyers   .Us,61
Ns.Corvettes   .Us,0
Ns.Submarines   .Us,72
Ns.Patrol Vessels.Us,13
Ns.Mine Vessels.Us,13
Ns.Aircraft Carriers.China,1
Ns.Frigates  .China,40
Ns.Destroyers   .China,29
Ns.Corvettes   .China,20
Ns.Submarines   .China,66
Ns.Patrol Vessels.China,353
Ns.Mine Vessels.China,29
