id,value
Ns.Aircraft Carriers.Us,10
Ns.Frigates   .Us,10
Ns.Destroyers   .Us,62
Ns.Corvettes   .Us,0
Ns.Submarines   .Us,72
Ns.Patrol Vessels.Us,13
Ns.Mine Vessels.Us,11
Ns.Aircraft Carriers.China,1
Ns.Frigates  .China,43
Ns.Destroyers   .China,30
Ns.Corvettes   .China,23
Ns.Submarines   .China,65
Ns.Patrol Vessels.China,13
Ns.Mine Vessels.China,25
