id,value
As.Combat Tanks.Us,8213
As.Armored Fighting Vechicles.Us,30755
As.Self-Propelled Artillery.Us,1934
As.Towed Artillery.Us,1299
As.Rocket Projectors.Us,1587
As.Combat Tanks.China,9576
As.Armored Fighting Vechicles.China,6954
As.Self-Propelled Artillery.China,2273
As.Towed Artillery.China,6246
As.Rocket Projectors.China,2844
