id,value
Ns.Aircraft Carriers.Us,11
Ns.Frigates   .Us,8
Ns.Destroyers   .Us,63
Ns.Corvettes   .Us,0
Ns.Submarines   .Us,70
Ns.Patrol Vessels.Us,13
Ns.Mine Vessels.Us,11
Ns.Aircraft Carriers.China,1
Ns.Frigates  .China,51
Ns.Destroyers   .China,37
Ns.Corvettes   .China,35
Ns.Submarines   .China,69
Ns.Patrol Vessels.China,220
Ns.Mine Vessels.China,31
