id,value
Ns.Aircraft Carriers.Us,10
Ns.Frigates   .Us,6
Ns.Destroyers   .Us,62
Ns.Corvettes   .Us,0
Ns.Submarines   .Us,75
Ns.Patrol Vessels.Us,13
Ns.Mine Vessels.Us,11
Ns.Aircraft Carriers.China,1
Ns.Frigates  .China,45
Ns.Destroyers   .China,32
Ns.Corvettes   .China,26
Ns.Submarines   .China,67
Ns.Patrol Vessels.China,138
Ns.Mine Vessels.China,27
