id,value
Ap.Fighters .Us,2296
Ap.Attackers .Us,2785
Ap.Transports .Us,5739
Ap.Trainers .Us,2831
Ap.Helicopters .Us,6065
Ap.Attack Helicopters.Us,967
Ap.Fighters .China,1271
Ap.Attackers .China,1385
Ap.Transports .China,879
Ap.Trainers .China,541
Ap.Helicopters .China,989
Ap.Attack Helicopters.China,289
