id,value
Ap.Fighters .Us,2271
Ap.Attackers .Us,2601
Ap.Transports .Us,5222
Ap.Trainers .Us,2745
Ap.Helicopters .Us,6096
Ap.Attack Helicopters.Us,914
Ap.Fighters .China,1130
Ap.Attackers .China,1249
Ap.Transports .China,657
Ap.Trainers .China,340
Ap.Helicopters .China,742
Ap.Attack Helicopters.China,142
