id,value
Ap.Fighters .Us,2308
Ap.Attackers .Us,2785
Ap.Transports .Us,5501
Ap.Trainers .Us,2771
Ap.Helicopters .Us,5986
Ap.Attack Helicopters.Us,957
Ap.Fighters .China,1230
Ap.Attackers .China,1375
Ap.Transports .China,762
Ap.Trainers .China,403
Ap.Helicopters .China,802
Ap.Attack Helicopters.China,206
