Slider,kind,US,China
0,Navy,320,740
0,Air,327,473
0,Army,528,1780
25,Navy,322,740
25,Air,213,473
25,Army,504,1780
50,Navy,323,723
50,Air,307,468
50,Army,487,1652
75,Navy,327,691
75,Air,317,334
75,Army,475,1310
100,Navy,309,678
100,Air,258,333
100,Army,452,1249
