id,value
Ns.Aircraft Carriers.Us,11
Ns.Frigates   .Us,10
Ns.Destroyers   .Us,59
Ns.Corvettes   .Us,0
Ns.Submarines   .Us,75
Ns.Patrol Vessels.Us,13
Ns.Mine Vessels.Us,14
Ns.Aircraft Carriers.China,1
Ns.Frigates  .China,35
Ns.Destroyers   .China,25
Ns.Corvettes   .China,12
Ns.Submarines   .China,62
Ns.Patrol Vessels.China,332
Ns.Mine Vessels.China,27
