Company,new_foreign_worker_count
HCL,85
TATA,85
THE,104
FEDEX,110
ST.,113
THEa,116
INFOSYS,128
COGNIZANT,129
VANDERBILT,153
TECH,159
"SYNECHRON,",159
CAPGEMINI,160
SYNTEL,203
"UT-BATTELLE,",219
WIPRO,275
