Company,new_foreign_worker_count
"ECLINICALWORKS,",207
DELOITTE,213
EMC,229
"VENTOIS,",230
MASSACHUSETTS,232
GENERAL,260
INFOSYS,289
ACCENTURE,294
IBM,322
HARVARD,327
AVCO,367
COLLABORATE,377
CAPGEMINI,404
THE,490
WIPRO,626
