Company,new_foreign_worker_count
AMAZON,179
UNIVERSITY,194
TATA,217
GOOGLE,223
T-MOBILE,250
"EXPEDIA,",267
WIPRO,319
AZIMETRY,339
TECH,348
ACCENTURE,356
DIVENSI,389
HCL,486
INFOSYS,1565
AMAZONa,1948
MICROSOFT,4172
