Company,new_foreign_worker_count
HCL,241
YASH,269
THE,272
HTC,276
MARVELL,283
COGNIZANT,310
IGATE,314
ERNST,351
WIPRO,483
DELOITTE,614
ACCENTURE,802
IBM,806
TATA,938
INFOSYS,1588
CAPGEMINI,2863
