Company,new_foreign_worker_count
TECH,25
J.B.,30
"LIBERTYCOM,",34
UNIVERSITY,66
COGNIZANT,69
"ESYSTEMS,",74
ACCENTURE,98
TATA,120
IBM,158
UNIVERSITYa,163
UST,181
WIPRO,191
USTaa,219
WAL-MART,339
INFOSYS,421
