Company,new_foreign_worker_count
LINKEDIN,659
INTEL,729
IBM,841
HCL,854
DELOITTE,856
ERNST,864
TECH,866
"FACEBOOK,",873
ACCENTURE,995
CAPGEMINI,1172
TATA,1179
APPLE,1462
WIPRO,1860
GOOGLE,3828
INFOSYS,4693
