Position,Track Name,Artist,Streams,ADMIN
10,I'm the One,DJ Khaled,1888,Estonia
1,Despacito - Remix,Luis Fonsi,61057,Turkey
2,Yolla,Tarkan,57526,Turkey
3,Shape of You,Ed Sheeran,46538,Turkey
4,Wild Thoughts,DJ Khaled,38576,Turkey
5,Thunder,Imagine Dragons,36063,Turkey
6,Raf,Deeperise,35129,Turkey
7,Olay,Ayse Hatun Onal,33636,Turkey
8,Attention,Charlie Puth,33062,Turkey
9,Gel Be Gökyüzüm,?lyas Yalç?nta?,32501,Turkey
10,Believer,Imagine Dragons,31735,Turkey
1,Despacito - Remix,Luis Fonsi,1603532,United States
2,XO TOUR Llif3,Lil Uzi Vert,1425468,United States
3,Wild Thoughts,DJ Khaled,1360966,United States
4,I'm the One,DJ Khaled,1351254,United States
5,HUMBLE.,Kendrick Lamar,1275449,United States
6,Unforgettable,French Montana,1121322,United States
7,Congratulations,Post Malone,1038488,United States
8,Slide,Calvin Harris,967449,United States
9,Feels,Calvin Harris,894628,United States
10,Redbone,Childish Gambino,861802,United States
1,Felices los 4,Maluma,6940,El Salvador
2,Me Rehúso,Danny Ocean,6730,El Salvador
3,Escápate Conmigo,Wisin,6368,El Salvador
4,Una Lady Como Tú,Manuel Turizo,5644,El Salvador
5,Ahora Dice,Chris Jeday,5442,El Salvador
6,Mi Gente,J Balvin,5360,El Salvador
7,Hey DJ,CNCO,4738,El Salvador
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,4716,El Salvador
9,Shape of You,Ed Sheeran,4555,El Salvador
10,Báilame,Nacho,4062,El Salvador
1,Me Rehúso,Danny Ocean,23799,Costa Rica
2,Felices los 4,Maluma,22225,Costa Rica
3,Shape of You,Ed Sheeran,19586,Costa Rica
4,Ahora Dice,Chris Jeday,18358,Costa Rica
5,Escápate Conmigo,Wisin,16708,Costa Rica
6,Hey DJ,CNCO,14881,Costa Rica
7,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,13430,Costa Rica
