Position,Track Name,Artist,Streams,ADMIN
1,Felices los 4,Maluma,29625,Ecuador
2,Me Rehúso,Danny Ocean,22402,Ecuador
3,Báilame,Nacho,19756,Ecuador
4,Shape of You,Ed Sheeran,17641,Ecuador
5,Hey DJ,CNCO,17147,Ecuador
6,Una Lady Como Tú,Manuel Turizo,17104,Ecuador
7,Escápate Conmigo,Wisin,17072,Ecuador
8,Ahora Dice,Chris Jeday,14879,Ecuador
9,El Amante,Nicky Jam,13086,Ecuador
10,Despacito (Featuring Daddy Yankee),Luis Fonsi,12420,Ecuador
1,?. Macarena,Damso,174338,France
2,Shape of You,Ed Sheeran,129990,France
3,Despacito - Remix,Luis Fonsi,126738,France
4,Chocolat (feat. Awa),Lartiste,97098,France
5,Mask Off,Future,95456,France
6,Despacito (Featuring Daddy Yankee),Luis Fonsi,91572,France
7,?. Nwaar Is The New Black,Damso,90521,France
8,I'm the One,DJ Khaled,90440,France
9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,89578,France
10,?. Signaler,Damso,87917,France
1,Felices los 4,Maluma,246580,Argentina
2,Me Rehúso,Danny Ocean,168235,Argentina
3,Ahora Dice,Chris Jeday,165683,Argentina
4,Hey DJ,CNCO,148050,Argentina
5,Escápate Conmigo,Wisin,147183,Argentina
6,Shape of You,Ed Sheeran,137540,Argentina
7,Despacito (Featuring Daddy Yankee),Luis Fonsi,131376,Argentina
8,Tu Foto,Ozuna,120639,Argentina
9,El Amante,Nicky Jam,117467,Argentina
10,Despacito - Remix,Luis Fonsi,116337,Argentina
1,Hanuri (feat. Boyat),Antti Tuisku,127474,Finland
2,Despacito - Remix,Luis Fonsi,105951,Finland
3,Kylmii Väreitä,Evelina,72154,Finland
4,Karjala Takas,Portion Boys,61649,Finland
5,Summer Air,ItaloBrothers,60793,Finland
6,Hula Hula,Robin,59268,Finland
7,OK,Robin Schulz,57870,Finland
8,Kymmenen Kirosanaa - Vain Elämää Kausi 6,Robin,54599,Finland
9,I'm the One,DJ Khaled,52574,Finland
10,Sit Mennää,Teflon Brothers,51442,Finland
1,Despacito - Remix,Luis Fonsi,258306,Norway
2,Fy Faen,Hkeem,155199,Norway
3,I'm the One,DJ Khaled,140799,Norway
4,Malibu,Miley Cyrus,129433,Norway
5,Tired,Alan Walker,127974,Norway
6,Summer Air,ItaloBrothers,123014,Norway
7,First Time,Kygo,122713,Norway
8,One Night Stand,Vidar Villa,120471,Norway
9,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,117855,Norway
10,Tuesday,Burak Yeter,117153,Norway
1,Happy Days,Ghali,149718,Italy
2,Senza Pagare VS T-Pain,J-AX,139575,Italy
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,130521,Italy
4,Ricchi Dentro,Ghali,118307,Italy
5,Shape of You,Ed Sheeran,115778,Italy
6,Volare,Fabio Rovazzi,114995,Italy
7,Something Just Like This,The Chainsmokers,100340,Italy
8,SUBEME LA RADIO,Enrique Iglesias,95514,Italy
9,Habibi,Ghali,91344,Italy
10,Pamplona,Fabri Fibra,91219,Italy
