Id,Id2,Geography,TargetGeoId,TargetGeoId2,Geographicarea,Geographicarea,Population,Housingunits,AreainsquaremilesTotal,AreainsquaremilesWater,AreainsquaremilesLand,DensitypersquaremilelandPopulation,DensitypersquaremilelandHousingunits
0500000US06075,6075,"San Francisco County, California",1400000US06075013200,6075013200,San Francisco County - Census Tract 132,Census Tract 132,4162,2590,0.21,0,0.21,19718.2,12270.6
0500000US06075,6075,"San Francisco County, California",1400000US06075013300,6075013300,San Francisco County - Census Tract 133,Census Tract 133,4232,2090,0.22,0,0.22,18855.4,9311.9
0500000US06075,6075,"San Francisco County, California",1400000US06075013400,6075013400,San Francisco County - Census Tract 134,Census Tract 134,3599,2180,0.14,0,0.14,26318.7,15941.9
0500000US06075,6075,"San Francisco County, California",1400000US06075013500,6075013500,San Francisco County - Census Tract 135,Census Tract 135,2556,1857,0.09,0,0.09,28148.2,20450.4
0500000US06075,6075,"San Francisco County, California",1400000US06075015100,6075015100,San Francisco County - Census Tract 151,Census Tract 151,2493,1904,0.07,0,0.07,37041.2,28289.8
0500000US06075,6075,"San Francisco County, California",1400000US06075015200,6075015200,San Francisco County - Census Tract 152,Census Tract 152,3934,2624,0.11,0,0.11,36494.3,24341.9
0500000US06075,6075,"San Francisco County, California",1400000US06075015300,6075015300,San Francisco County - Census Tract 153,Census Tract 153,2040,1051,0.09,0,0.09,22606.5,11646.8
0500000US06075,6075,"San Francisco County, California",1400000US06075015400,6075015400,San Francisco County - Census Tract 154,Census Tract 154,5621,3088,0.28,0,0.28,20223.9,11110.4
0500000US06075,6075,"San Francisco County, California",1400000US06075015500,6075015500,San Francisco County - Census Tract 155,Census Tract 155,3622,2441,0.12,0,0.12,30007.1,20222.9
0500000US06075,6075,"San Francisco County, California",1400000US06075015600,6075015600,San Francisco County - Census Tract 156,Census Tract 156,2728,1400,0.11,0,0.11,24073.9,12354.6
0500000US06075,6075,"San Francisco County, California",1400000US06075015700,6075015700,San Francisco County - Census Tract 157,Census Tract 157,7832,2754,0.32,0,0.32,24248.1,8526.5
0500000US06075,6075,"San Francisco County, California",1400000US06075015801,6075015801,San Francisco County - Census Tract 158.01,Census Tract 158.01,3594,1764,0.13,0,0.13,27087.6,13295.1
0500000US06075,6075,"San Francisco County, California",1400000US06075015802,6075015802,San Francisco County - Census Tract 158.02,Census Tract 158.02,2965,1581,0.07,0,0.07,44973,23980.5
0500000US06075,6075,"San Francisco County, California",1400000US06075015900,6075015900,San Francisco County - Census Tract 159,Census Tract 159,4350,2413,0.11,0,0.11,38141.2,21157.4
0500000US06075,6075,"San Francisco County, California",1400000US06075016000,6075016000,San Francisco County - Census Tract 160,Census Tract 160,2465,1847,0.06,0,0.06,40346.8,30231.5
0500000US06075,6075,"San Francisco County, California",1400000US06075016100,6075016100,San Francisco County - Census Tract 161,Census Tract 161,5366,2873,0.14,0,0.14,37673.7,20170.8
0500000US06075,6075,"San Francisco County, California",1400000US06075016200,6075016200,San Francisco County - Census Tract 162,Census Tract 162,2541,1742,0.11,0,0.11,24115.9,16532.8
0500000US06075,6075,"San Francisco County, California",1400000US06075016300,6075016300,San Francisco County - Census Tract 163,Census Tract 163,4293,2185,0.09,0,0.09,45222.9,23017
0500000US06075,6075,"San Francisco County, California",1400000US06075016400,6075016400,San Francisco County - Census Tract 164,Census Tract 164,3778,1951,0.12,0,0.12,31656.6,16347.8
0500000US06075,6075,"San Francisco County, California",1400000US06075016500,6075016500,San Francisco County - Census Tract 165,Census Tract 165,5083,2483,0.14,0,0.14,35536.8,17359.4
0500000US06075,6075,"San Francisco County, California",1400000US06075016600,6075016600,San Francisco County - Census Tract 166,Census Tract 166,5069,2668,0.13,0,0.13,38257.2,20136.2
0500000US06075,6075,"San Francisco County, California",1400000US06075016700,6075016700,San Francisco County - Census Tract 167,Census Tract 167,4652,2448,0.19,0,0.19,24554.3,12921.1
0500000US06075,6075,"San Francisco County, California",1400000US06075016801,6075016801,San Francisco County - Census Tract 168.01,Census Tract 168.01,3218,1734,0.09,0,0.09,36741,19797.7
0500000US06075,6075,"San Francisco County, California",1400000US06075016802,6075016802,San Francisco County - Census Tract 168.02,Census Tract 168.02,3264,1900,0.08,0,0.08,39212,22825.6
0500000US06075,6075,"San Francisco County, California",1400000US06075016900,6075016900,San Francisco County - Census Tract 169,Census Tract 169,2924,1724,0.11,0,0.11,25742.1,15177.6
0500000US06075,6075,"San Francisco County, California",1400000US06075017000,6075017000,San Francisco County - Census Tract 170,Census Tract 170,3689,2332,0.18,0,0.18,20349.2,12863.7
0500000US06075,6075,"San Francisco County, California",1400000US06075017101,6075017101,San Francisco County - Census Tract 171.01,Census Tract 171.01,3544,1898,0.12,0,0.12,29289.9,15686.3
0500000US06075,6075,"San Francisco County, California",1400000US06075017102,6075017102,San Francisco County - Census Tract 171.02,Census Tract 171.02,3451,1805,0.11,0,0.11,30309.4,15852.9
0500000US06075,6075,"San Francisco County, California",1400000US06075017601,6075017601,San Francisco County - Census Tract 176.01,Census Tract 176.01,7630,5296,0.24,0,0.24,31307.7,21730.7
0500000US06075,6075,"San Francisco County, California",1400000US06075017700,6075017700,San Francisco County - Census Tract 177,Census Tract 177,2128,801,0.35,0,0.35,6101.1,2296.5
0500000US06075,6075,"San Francisco County, California",1400000US06075017801,6075017801,San Francisco County - Census Tract 178.01,Census Tract 178.01,3499,2479,0.08,0,0.08,42337.2,29995.4
0500000US06075,6075,"San Francisco County, California",1400000US06075017802,6075017802,San Francisco County - Census Tract 178.02,Census Tract 178.02,4516,2425,0.2,0,0.2,22928.1,12311.9
0500000US06075,6075,"San Francisco County, California",1400000US06075017902,6075017902,San Francisco County - Census Tract 179.02,Census Tract 179.02,2880,786,48.86,47.81,1.05,2741.4,748.2
0500000US06075,6075,"San Francisco County, California",1400000US06075018000,6075018000,San Francisco County - Census Tract 180,Census Tract 180,4221,1595,0.36,0,0.36,11667.1,4408.7
0500000US06075,6075,"San Francisco County, California",1400000US06075020100,6075020100,San Francisco County - Census Tract 201,Census Tract 201,6172,3303,0.17,0,0.17,35863.8,19192.8
0500000US06075,6075,"San Francisco County, California",1400000US06075020200,6075020200,San Francisco County - Census Tract 202,Census Tract 202,6269,3390,0.13,0,0.13,47988.8,25950.2
0500000US06075,6075,"San Francisco County, California",1400000US06075020300,6075020300,San Francisco County - Census Tract 203,Census Tract 203,3034,1782,0.11,0,0.11,27468.7,16133.6
0500000US06075,6075,"San Francisco County, California",1400000US06075020401,6075020401,San Francisco County - Census Tract 204.01,Census Tract 204.01,2846,1745,0.13,0,0.13,22526.9,13812.2
0500000US06075,6075,"San Francisco County, California",1400000US06075020402,6075020402,San Francisco County - Census Tract 204.02,Census Tract 204.02,3997,2601,0.23,0,0.23,17497.5,11386.3
0500000US06075,6075,"San Francisco County, California",1400000US06075020500,6075020500,San Francisco County - Census Tract 205,Census Tract 205,2583,1397,0.11,0,0.11,24158.4,13065.9
0500000US06075,6075,"San Francisco County, California",1400000US06075020600,6075020600,San Francisco County - Census Tract 206,Census Tract 206,4711,2807,0.22,0,0.22,21538.7,12833.6
0500000US06075,6075,"San Francisco County, California",1400000US06075020700,6075020700,San Francisco County - Census Tract 207,Census Tract 207,5171,2884,0.13,0,0.13,38485.7,21464.5
0500000US06075,6075,"San Francisco County, California",1400000US06075020800,6075020800,San Francisco County - Census Tract 208,Census Tract 208,6577,2718,0.13,0,0.13,49218.3,20339.9
0500000US06075,6075,"San Francisco County, California",1400000US06075020900,6075020900,San Francisco County - Census Tract 209,Census Tract 209,4372,1899,0.12,0,0.12,36188.8,15718.8
0500000US06075,6075,"San Francisco County, California",1400000US06075021000,6075021000,San Francisco County - Census Tract 210,Census Tract 210,4196,2140,0.12,0,0.12,34786,17741.2
0500000US06075,6075,"San Francisco County, California",1400000US06075021100,6075021100,San Francisco County - Census Tract 211,Census Tract 211,3853,2039,0.16,0,0.16,23518.3,12445.8
0500000US06075,6075,"San Francisco County, California",1400000US06075021200,6075021200,San Francisco County - Census Tract 212,Census Tract 212,2779,1505,0.13,0,0.13,20814.7,11272.4
0500000US06075,6075,"San Francisco County, California",1400000US06075021300,6075021300,San Francisco County - Census Tract 213,Census Tract 213,2474,1258,0.12,0,0.12,20517.2,10432.7
0500000US06075,6075,"San Francisco County, California",1400000US06075021400,6075021400,San Francisco County - Census Tract 214,Census Tract 214,3264,1770,0.14,0,0.14,23901.2,12961.1
0500000US06075,6075,"San Francisco County, California",1400000US06075021500,6075021500,San Francisco County - Census Tract 215,Census Tract 215,5096,2627,0.19,0,0.19,26692.5,13760.1
0500000US06075,6075,"San Francisco County, California",1400000US06075021600,6075021600,San Francisco County - Census Tract 216,Census Tract 216,3836,2165,0.23,0,0.23,16614.5,9377
0500000US06075,6075,"San Francisco County, California",1400000US06075021700,6075021700,San Francisco County - Census Tract 217,Census Tract 217,3948,1876,0.47,0,0.47,8312.2,3949.8
0500000US06075,6075,"San Francisco County, California",1400000US06075021800,6075021800,San Francisco County - Census Tract 218,Census Tract 218,3840,1884,0.19,0,0.19,19837.5,9732.8
0500000US06075,6075,"San Francisco County, California",1400000US06075022600,6075022600,San Francisco County - Census Tract 226,Census Tract 226,1534,944,0.72,0.19,0.52,2926.2,1800.7
0500000US06075,6075,"San Francisco County, California",1400000US06075022702,6075022702,San Francisco County - Census Tract 227.02,Census Tract 227.02,2060,1052,0.11,0,0.11,18797.1,9599.3
0500000US06075,6075,"San Francisco County, California",1400000US06075022704,6075022704,San Francisco County - Census Tract 227.04,Census Tract 227.04,3122,1717,0.21,0,0.21,14847.3,8165.5
0500000US06075,6075,"San Francisco County, California",1400000US06075022801,6075022801,San Francisco County - Census Tract 228.01,Census Tract 228.01,5078,1971,0.22,0,0.22,22742.2,8827.3
0500000US06075,6075,"San Francisco County, California",1400000US06075022802,6075022802,San Francisco County - Census Tract 228.02,Census Tract 228.02,2099,630,0.11,0,0.11,18689.6,5609.6
0500000US06075,6075,"San Francisco County, California",1400000US06075022803,6075022803,San Francisco County - Census Tract 228.03,Census Tract 228.03,4595,1606,0.11,0,0.11,42190.1,14745.9
0500000US06075,6075,"San Francisco County, California",1400000US06075022901,6075022901,San Francisco County - Census Tract 229.01,Census Tract 229.01,4640,1500,0.1,0,0.1,48224.5,15589.8
0500000US06075,6075,"San Francisco County, California",1400000US06075022902,6075022902,San Francisco County - Census Tract 229.02,Census Tract 229.02,2617,839,0.06,0,0.06,41841.8,13414.3
0500000US06075,6075,"San Francisco County, California",1400000US06075022903,6075022903,San Francisco County - Census Tract 229.03,Census Tract 229.03,3384,1167,0.12,0,0.12,28284,9754
0500000US06075,6075,"San Francisco County, California",1400000US06075023001,6075023001,San Francisco County - Census Tract 230.01,Census Tract 230.01,5216,1380,0.26,0,0.26,20278.7,5365.2
0500000US06075,6075,"San Francisco County, California",1400000US06075023003,6075023003,San Francisco County - Census Tract 230.03,Census Tract 230.03,4093,1213,0.16,0,0.16,25856.6,7662.9
0500000US06075,6075,"San Francisco County, California",1400000US06075023102,6075023102,San Francisco County - Census Tract 231.02,Census Tract 231.02,3478,1272,0.19,0,0.19,17988.1,6578.8
0500000US06075,6075,"San Francisco County, California",1400000US06075023103,6075023103,San Francisco County - Census Tract 231.03,Census Tract 231.03,3725,1301,0.48,0,0.48,7683.5,2683.5
0500000US06075,6075,"San Francisco County, California",1400000US06075023200,6075023200,San Francisco County - Census Tract 232,Census Tract 232,4582,1326,0.33,0,0.33,13883.2,4017.7
0500000US06075,6075,"San Francisco County, California",1400000US06075023300,6075023300,San Francisco County - Census Tract 233,Census Tract 233,2624,1000,0.25,0,0.25,10674.7,4068.1
0500000US06075,6075,"San Francisco County, California",1400000US06075023400,6075023400,San Francisco County - Census Tract 234,Census Tract 234,3660,1044,0.33,0,0.33,11102.3,3166.9
0500000US06075,6075,"San Francisco County, California",1400000US06075025100,6075025100,San Francisco County - Census Tract 251,Census Tract 251,3077,1357,0.21,0,0.21,14318.3,6314.6
0500000US06075,6075,"San Francisco County, California",1400000US06075025200,6075025200,San Francisco County - Census Tract 252,Census Tract 252,5369,2257,0.25,0,0.25,21179.1,8903.2
