name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Cozy and spacious room in a great location,Mission,37.75134306,-122.4226501,Private room,45,10,0,,,1,0
"GorgeousVictorian Rm, TrendyMission",Mission,37.75506955,-122.4168171,Private room,169,2,12,11/18/16,0.53,2,365
Mission Penthouse Master Suite,Mission,37.7622065,-122.4198954,Private room,186,28,29,2/20/17,0.66,2,90
Fabulous Mission Apt. Very Private,Mission,37.753852,-122.4111577,Private room,77,1,3,11/29/15,0.18,1,0
"Huge Modern 2BR Apartment, Close to Everything",Mission,37.76251893,-122.4242846,Entire home/apt,250,5,10,1/23/17,0.3,3,68
Cute spot in the Mission,Mission,37.76531007,-122.4246905,Entire home/apt,235,1,10,11/2/15,0.46,1,0
1BR Private Room in Spacious Victorian Home!,Mission,37.76362666,-122.4253853,Private room,80,1,2,8/1/16,0.23,2,0
"2b/2b modern condo, super location",Mission,37.7681406,-122.4253676,Entire home/apt,300,2,22,2/12/17,0.5,2,0
Spacious Mission 1-BR,Mission,37.75866765,-122.42388,Entire home/apt,200,7,1,1/7/17,0.22,1,19
Beautiful one bedroom Retreat - Mission District,Mission,37.76148205,-122.4092539,Entire home/apt,200,1,4,3/19/17,1.6,1,250
Private Studio in Mission,Mission,37.75399609,-122.4177063,Entire home/apt,125,2,138,3/18/17,1.89,5,322
Private room in beautiful Mission apartment,Mission,37.75328433,-122.4118579,Private room,40,15,0,,,1,0
Superbowl Apt. near Frway and Bart!,Mission,37.75028261,-122.4156194,Entire home/apt,500,1,0,,,2,0
Twin Beds in Prime Central Location,Mission,37.75813182,-122.4141177,Private room,79,1,3,3/27/17,3,5,0
Mission Studio in the Perfect Location,Mission,37.75754497,-122.4201252,Entire home/apt,115,5,5,7/6/16,0.47,1,0
SF Mission Dolores Home,Mission,37.76249605,-122.422603,Entire home/apt,575,4,11,2/20/17,0.33,1,67
Private Room in Beautiful Apartment,Mission,37.7580424,-122.4211011,Private room,65,2,7,1/13/17,1.91,2,57
Mission House w Roof Deck / Yard,Mission,37.75788359,-122.4075305,Entire home/apt,2000,1,0,,,1,0
Sweet Mission Room,Mission,37.75456441,-122.4125264,Private room,51,9,1,11/11/16,0.21,1,0
Tiny Urban Cottage,Mission,37.75239754,-122.4244804,Entire home/apt,159,1,30,3/31/17,3.52,2,328
Sunlit and modern apartment in SOMA,Mission,37.76911001,-122.4119345,Private room,120,1,1,7/7/15,0.05,1,0
Comfortable Room in Artistic Condo,Mission,37.76862344,-122.4244366,Private room,100,3,72,2/17/17,2.71,2,300
Bright studio in the HEART OF THE MISSION,Mission,37.76066203,-122.4208268,Shared room,50,1,1,7/16/16,0.11,1,0
WEEKEND ROOM IN THE MISSION ,Mission,37.75826018,-122.4083304,Private room,80,1,1,7/22/14,0.03,4,0
"Clean, cozy, and spacious apartment",Mission,37.75596136,-122.4095302,Private room,75,1,2,10/13/15,0.1,1,0
Private suite - in vibrant Mission,Mission,37.75942336,-122.4075424,Private room,155,3,132,1/23/17,3.17,1,86
Heart of the Mission New Cozy Charmer,Mission,37.75993231,-122.4213667,Entire home/apt,250,3,4,3/25/17,1.29,1,0
Quaint bedroom in the heart of SF,Mission,37.77021195,-122.4228986,Private room,55,1,8,3/21/17,7.5,1,0
Big Victorian home in 仫 of Mission,Mission,37.75065685,-122.4234918,Entire home/apt,450,3,9,7/2/16,0.25,2,26
Your Bright & Spacious Mission home,Mission,37.74944922,-122.4095556,Entire home/apt,250,2,45,9/18/16,2.68,1,79
Comfy & quiet. Awesome location,Mission,37.75375109,-122.4252011,Entire home/apt,150,2,1,12/30/13,0.03,1,0
Victorian in the heart of Mission,Mission,37.75641542,-122.4128513,Entire home/apt,300,2,21,2/23/17,0.98,1,96
Spacious & sunny 1br apartment,Mission,37.76772249,-122.422152,Entire home/apt,170,2,4,1/26/17,0.37,2,0
Noe Valley/Mission Studio,Mission,37.75151485,-122.4245018,Entire home/apt,190,2,1,9/7/15,0.05,1,237
Heart of the Mission!,Mission,37.75440053,-122.412507,Entire home/apt,230,6,29,2/14/17,0.89,1,343
Room in Valencia Flat,Mission,37.75309747,-122.4199679,Private room,115,1,25,12/14/16,1.85,3,1
Sunny & Modern Mission Gem,Mission,37.75780405,-122.4214434,Private room,95,3,6,9/6/16,0.45,2,15
A Sunshine Lit Double Suite,Mission,37.74970235,-122.4066375,Private room,90,2,31,10/6/16,1.36,4,336
Beautiful Room w/ Bay Window in the Mission!,Mission,37.76645745,-122.4253543,Private room,95,3,11,3/15/17,0.6,4,228
Nice Mission Apartment Walk to BART,Mission,37.75089762,-122.4148136,Entire home/apt,350,1,0,,,1,0
Cozy studio in the Mission,Mission,37.75110865,-122.4187323,Entire home/apt,130,7,8,2/14/17,0.36,1,9
Mission Dolores Noe Valley Studio,Mission,37.75526258,-122.4249664,Entire home/apt,4000,3,40,7/21/16,0.91,2,362
"Gorgeous Mission Loft, Great Light!",Mission,37.75691789,-122.4111644,Entire home/apt,349,7,20,2/24/17,0.38,1,365
Private Mission Room Near Valencia,Mission,37.76096715,-122.4231305,Private room,115,2,231,3/19/17,3.43,1,55
Sunny two-bedroom in vibrant Mission District,Mission,37.75849371,-122.4157999,Entire home/apt,170,7,3,2/20/16,0.19,1,56
Modern Mission Apt. w/ Private Bath,Mission,37.74825404,-122.4176816,Private room,115,1,12,1/1/17,0.79,1,347
2-Room Suite in Vibrant Mission,Mission,37.75267808,-122.4075329,Private room,133,1,97,3/31/17,6.08,2,67
Large 1bd condo in Mission Dolores!,Mission,37.76455721,-122.4239801,Entire home/apt,232,2,18,11/12/16,2.07,1,0
Cozy Mission apt,Mission,37.751588,-122.4187695,Entire home/apt,100,2,0,,,1,16
cozy apartment in the Mission,Mission,37.75618418,-122.421447,Entire home/apt,200,1,23,1/2/17,1.48,1,4
Sunny condo - Mission District,Mission,37.7569887,-122.4085638,Entire home/apt,450,2,0,,,2,363
Private BDRM/BA in trendy SF Apt w/360 views!,Mission,37.76313587,-122.4079654,Private room,80,1,2,3/20/17,1.71,1,8
"large, comfy br in fun neighborhood",Mission,37.74907405,-122.4124016,Private room,99,1,88,2/8/16,3.47,2,0
Private Garden Room in Victorian Home!,Mission,37.75083547,-122.4234114,Entire home/apt,145,2,133,3/21/17,3.16,1,49
Sunny Modern Mission Dolores Condo,Mission,37.75857822,-122.4222351,Entire home/apt,215,3,3,5/15/16,0.22,2,0
"Private, Quiet Apartment in Heart of the Mission",Mission,37.75913346,-122.4196755,Entire home/apt,185,2,5,3/21/17,1.92,1,13
Room in a lovely flat,Mission,37.75746793,-122.4125947,Private room,350,4,0,,,1,89
Queen bedroom in gorgeous bright Dolores luxury,Mission,37.76171887,-122.4234831,Private room,175,1,10,3/24/17,3.66,2,12
Comfy Classic Victorian - 2 BR,Mission,37.76867194,-122.4178576,Entire home/apt,165,2,22,3/26/17,1.43,1,0
Spacious 1 BDR apt by Dolores Park,Mission,37.76379548,-122.425448,Entire home/apt,149,1,23,2/16/17,1.08,1,0
