Company,new_foreign_worker_count
"CIBER, INC.",57
INTEL CORPORATION,34
"ORACLE AMERICA, INC.",20
UNIVERSITY OF COLORADO,18
INOVANT LLC,17
"TREKKING HEALTHCARE, INC. DBA BRIGHTSTAR CARE",16
"WHIP SYSTEMS, LLC",16
"COMCAST CABLE COMMUNICATIONS, LLC",15
"STAPLES, INC.",15
ARKSTEK,15
ARROW ELECTRONICS,15
DISH NETWORK LLC,15
ECHOSTAR TECHNOLOGIES LLC,11
TRIZETTO CORPORATION,11
UNIVERSITY OF COLORADO DENVER,10
DELOITTE CONSULTING LLP,9
ACCENTURE LLP,9
LEPRINO FOODS COMPANY,8
WESTERN UNION LLC,8
"IGT SOLUTIONS, INC.",8
Christie Lodge Owners Association,8
NICE SYSTEMS INC,8
"LEVEL 3 COMMUNICATIONS, LLC.",8
COLORADO STATE UNIVERSITY,7
CIGNA HEALTH AND LIFE INSURANCE COMPANY,7
GREEN VALLEY TURF CO.,6
EMC CORPORATION,6
"MICRON TECHNOLOGY, INC.",6
"LSI CORPORATION, AN AVAGO TECHNOLOGIES COMPANY",6
