Company,new_foreign_worker_count
"HOUSE OF RAEFORD FARMS, INC.",356
"HOUSE OF RAEFORD FARMS, INC",226
"Defender Services, Inc.",176
"Jimmy Forrest Farms, Inc.",49
THE UNIVERSITY OF SOUTH CAROLINA,16
MUY PIZZA SOUTHEAST LLC,16
RICHLAND SCHOOL DISTRICT ONE,16
CUMMINS INC.,13
CLEMSON UNIVERSITY,11
"SUMTER MEDICAL SPECIALISTS, P.A.",8
COLLEGE OF CHARLESTON,6
"NAN YA PLASTICS CORPORATION, AMERICA",5
UNIQUE SERVICES ASSOCIATES INC,5
"PALMETTO GBA, LLC.",5
"International Technology Solutions, Inc",5
INTEL CORPORATION,5
SOUTH CAROLINA INPATIENT MEDICINE ASSOCIATES LLC,5
SCHAEFFLER GROUP,5
DENMARK-OLAR SCHOOL DISTRICT NO 2,5
CLAFLIN UNIVERSITY,5
"ELECTROLUX HOME PRODUCTS, INC.",4
"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",4
COASTAL CAROLINA UNIVERSITY,4
BARNWELL SCHOOL DISTRICT #45,4
"ITRON, INC.",4
Orangeburg Consolidated School District Four,4
GP Technologies llc,3
SELF MEDICAL GROUP,3
"MARINER CONSTRUCTION, LLC",3
