Company,new_foreign_worker_count
ITECH US INC.,58
THE UNIVERSITY OF VERMONT,9
"DEALER DOT COM, INC",3
"GREEN MOUNTAIN COFFEE ROASTERS, INC.",3
Central Vermont Medical Center Inc.,2
Jay Peak Inc,2
"ARD, Inc. dba Tetra Tech ARD",2
THE PRESIDENT AND FELLOWS OF MIDDLEBURY COLLEG,2
OHM LLC,1
Bear Code LLC,1
"JOHNSON LAMBERT, LLP",1
"SMARTWORKS, LLC",1
Mack Molding Company,1
WORLD LEARNING,1
Vermont Law School,1
ISYSTEMSLLC,1
ROMAN DELIGHT PIZZA OF FOX RUN MALL INC.,1
CHAMPLAIN COLLEGE,1
"THE UNIVERSITY OF VERMONT MEDICAL CENTER, INC.",1
Isovolta Inc.,1
"Vermont Violins, Inc.",1
Springfield Hospital,1
SAINT MICHAEL'S COLLEGE,1
MCSOLEY MCCOY & CO.,1
"MAXIMUS, INC.",1
SOFT PEOPLE INC.,1
Husky Injection Molding Systems Inc,1
LINEAR TECHNOLOGY CORPORATION,1
ASIANA HOUSE,1
