day,hour,value
1,7,3563
1,8,134014
1,9,116762
1,10,54328
1,11,46438
1,12,46377
1,13,60233
1,14,55216
1,15,64486
1,16,56097
1,17,5820
1,18,66865
1,19,56326
1,20,23852
1,21,60451
1,22,57728
1,23,49928
1,24,39973
2,1,45883
2,2,19211
2,3,50929
2,4,47805
2,5,56636
2,6,53576
2,7,54557
2,8,47288
2,9,15708
2,10,45792
2,11,46914
2,12,54161
2,13,47157
2,14,48842
2,15,50888
2,16,47134
2,17,
2,18,48688
2,19,28347
2,20,34272
2,21,43743
2,22,48413
2,23,46677
2,24,133826
3,1,108968
3,2,57719
3,3,44786
3,4,47128
3,5,48870
3,6,46888
3,7,17788
3,8,39266
3,9,45259
3,10,47236
3,11,46251
3,12,47114
3,13,45538
3,14,36798
3,15,57345
3,16,22740
3,17,33229
3,18,50527
3,19,50552
3,20,49126
3,21,50728
3,22,50040
3,23,31535
3,24,22539
4,1,48335
4,2,50058
4,3,47008
4,4,45757
4,5,48279
4,6,49970
4,7,41694
4,8,13576
4,9,50938
4,10,48738
4,11,50455
4,12,49113
4,13,47558
4,14,48389
4,15,4223
4,16,
4,17,1882
4,18,48870
4,19,53599
4,20,97996
4,21,115895
4,22,53888
4,23,43976
4,24,45068
5,1,46022
5,2,42467
5,3,10276
5,4,53915
5,5,28655
5,6,52073
5,7,44671
5,8,47376
5,9,49346
5,10,45358
5,11,14292
5,12,44293
5,13,42338
5,14,50200
5,15,47061
5,16,50726
5,17,28119
5,18,49953
5,19,26801
5,20,49402
5,21,54351
5,22,46686
5,23,38964
5,24,30237
6,1,35293
6,2,49244
6,3,45686
6,4,49032
6,5,44394
6,6,33857
6,7,17670
6,8,50569
6,9,47129
6,10,76512
6,11,42867
6,12,64552
6,13,44765
6,14,63487
6,15,187888
6,16,65212
6,17,58728
6,18,27865
6,19,76939
6,20,5709
6,21,74960
6,22,37343
6,23,44248
6,24,72828
7,1,6112
7,2,70624
7,3,6560
7,4,69688
7,5,41286
7,6,44855
7,7,74147
7,8,5501
7,9,82293
7,10,70888
7,11,47132
7,12,92790
7,13,61463
7,14,103258
7,15,6044
7,16,103796
7,17,6237
7,18,101965
7,19,6168
7,20,88027
7,21,39492
7,22,44400
7,23,75536
7,24,6422
8,1,72439
8,2,118195
8,3,157155
8,4,16082
8,5,75170
8,6,67552
8,7,5425
8,8,74236
8,9,63760
8,10,14655
8,11,70666
8,12,57014
8,13,76483
8,14,28414
8,15,41387
8,16,30432
8,17,59721
8,18,66621
8,19,31211
8,20,40930
8,21,64984
8,22,32453
8,23,39606
8,24,62458
9,1,18522
9,2,50033
9,3,59947
9,4,40159
9,5,83113
9,6,75814
9,7,5736
9,8,91565
9,9,62373
9,10,5609
9,11,85366
9,12,63000
9,13,5935
9,14,81407
9,15,51112
9,16,177316
9,17,39669
9,18,78215
9,19,5887
9,20,77675
9,21,37789
9,22,42165
9,23,73866
9,24,6471
10,1,60667
10,2,6561
10,3,69896
10,4,46685
10,5,29936
10,6,69911
10,7,5873
10,8,75323
10,9,46397
10,10,32423
10,11,74933
10,12,5750
10,13,77814
10,14,18940
10,15,65414
10,16,79661
10,17,5862
10,18,78752
10,19,38430
10,20,44974
10,21,75579
10,22,6380
10,23,74703
10,24,60537
11,1,22088
11,2,74582
11,3,15338
11,4,72808
11,5,52547
11,6,59748
11,7,190957
11,8,48022
11,9,76772
11,10,19990
11,11,59070
11,12,73614
11,13,6550
11,14,69982
11,15,71865
11,16,34006
11,17,54520
11,18,84714
11,19,76133
11,20,5869
11,21,85451
11,22,71337
11,23,20749
11,24,57673
12,1,70108
12,2,36782
12,3,40617
12,4,67772
12,5,40996
12,6,40398
12,7,46086
12,8,63802
12,9,60567
12,10,29941
12,11,36603
12,12,60499
12,13,60668
12,14,62177
12,15,7656
12,16,62933
12,17,65480
12,18,76729
12,19,185497
12,20,27551
12,21,75950
12,22,66053
12,23,6529
12,24,67811
13,1,65842
13,2,6598
13,3,63714
13,4,62152
13,5,73525
13,6,6135
13,7,75701
13,8,47875
13,9,24006
13,10,66115
13,11,50033
13,12,62108
13,13,53078
13,14,72065
13,15,8261
13,16,61358
13,17,71947
13,18,62177
13,19,17257
13,20,49530
13,21,56348
13,22,58350
13,23,31415
13,24,32387
14,1,57737
14,2,54043
14,3,50269
14,4,47701
14,5,21343
14,6,76080
14,7,14334
14,8,59851
14,9,185513
14,10,67119
14,11,64952
14,12,56749
14,13,62811
14,14,58994
14,15,22011
14,16,47360
14,17,64994
14,18,5854
14,19,63117
14,20,62329
14,21,15882
14,22,52383
14,23,61077
14,24,32759
15,1,32550
15,2,61158
15,3,46067
15,4,6402
15,5,66197
15,6,47812
15,7,60416
15,8,50862
15,9,5846
15,10,66707
15,11,50881
15,12,10812
15,13,61061
15,14,54130
15,15,62004
15,16,10050
15,17,60243
15,18,68648
15,19,5986
15,20,64221
15,21,64973
15,22,6527
15,23,64888
15,24,57104
16,1,17366
16,2,190655
16,3,70389
16,4,61640
16,5,57697
16,6,41055
16,7,21071
16,8,57402
16,9,57023
16,10,58356
16,11,20834
16,12,43005
16,13,59075
16,14,59104
16,15,3294
16,16,
16,17,
16,18,
16,19,
16,20,
16,21,
16,22,
16,23,
16,24,
17,1,69559
17,2,68842
17,3,6544
17,4,71371
17,5,80756
17,6,5796
17,7,70979
17,8,71841
17,9,6445
17,10,70551
17,11,37210
17,12,38115
17,13,69386
17,14,5988
17,15,70021
17,16,66238
17,17,10285
17,18,70593
17,19,27377
17,20,49485
17,21,69673
17,22,6488
17,23,69135
17,24,54020
18,1,48335
18,2,50058
18,3,47008
18,4,45757
18,5,48279
18,6,49970
18,7,41694
18,8,13576
18,9,50938
18,10,48738
18,11,50455
18,12,49113
18,13,47558
18,14,48389
18,15,4223
18,16,
18,17,1882
18,18,48870
18,19,53599
18,20,97996
18,21,115895
18,22,53888
18,23,43976
18,24,45068
