Position,Track,Artist,Streams,ADMIN
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,31215,Ecuador
2,Shape of You,Ed Sheeran,21548,Ecuador
3,El Amante,Nicky Jam,17902,Ecuador
4,Me Rehúso,Danny Ocean,14097,Ecuador
5,Reggaetón Lento (Bailemos),CNCO,13932,Ecuador
6,Otra Vez (feat. J Balvin),Zion & Lennox,12772,Ecuador
7,Chantaje,Shakira,12119,Ecuador
8,Vacaciones,Wisin,11078,Ecuador
9,Safari,J Balvin,9569,Ecuador
10,Ay Mi Dios,IAmChino,9451,Ecuador
1,Shape of You,Ed Sheeran,216411,France
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,118608,France
3,Afro Trap Pt. 8 (Never),MHD,110796,France
4,Tout l'monde s'en fout,Sofiane,103822,France
5,Bené,PNL,103022,France
6,It Ain't Me (with Selena Gomez),Kygo,100170,France
7,Human,Rag'n'Bone Man,91376,France
8,Call On Me - Ryan Riback Extended Remix,Starley,89578,France
9,Je m'en vais,Vianney,88191,France
10,Grande armée,Lacrim,87657,France
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,365941,Argentina
2,El Amante,Nicky Jam,179697,Argentina
3,Reggaetón Lento (Bailemos),CNCO,169647,Argentina
4,Shape of You,Ed Sheeran,168495,Argentina
5,Chantaje,Shakira,141696,Argentina
6,La Rompe Corazones,Daddy Yankee,130672,Argentina
7,Cuando Se Pone a Bailar,Rombai,128087,Argentina
8,Otra Vez (feat. J Balvin),Zion & Lennox,120630,Argentina
9,Vacaciones,Wisin,110434,Argentina
10,Me Llamas (feat. Maluma) - Remix,Piso 21,109087,Argentina
1,Rahan takii,Antti Tuisku,125998,Finland
2,Sitä säät mitä tilaat (feat. Ellinoora),JVG,88045,Finland
3,Shape of You,Ed Sheeran,85125,Finland
4,Tahdon rakastella sinua,SANNI,83715,Finland
5,It Ain't Me (with Selena Gomez),Kygo,76554,Finland
6,Antaudun,Reino Nordin,69248,Finland
7,Liikaa Sussa Kii,Mikael Gabriel,66999,Finland
8,Something Just Like This,The Chainsmokers,61552,Finland
9,Chained To The Rhythm,Katy Perry,53031,Finland
10,Scared to Be Lonely,Martin Garrix,52807,Finland
1,It Ain't Me (with Selena Gomez),Kygo,270388,Norway
2,Shape of You,Ed Sheeran,178062,Norway
3,Issues,Julia Michaels,144007,Norway
4,Scared to Be Lonely,Martin Garrix,136460,Norway
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,124064,Norway
6,Something Just Like This,The Chainsmokers,121654,Norway
7,Paris,The Chainsmokers,103633,Norway
8,Chained To The Rhythm,Katy Perry,100046,Norway
9,Weak,AJR,91728,Norway
