Position,Track,Artist,Streams,ADMIN
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,51099,Ecuador
2,Shape of You,Ed Sheeran,19047,Ecuador
3,Reggaetón Lento (Bailemos),CNCO,18609,Ecuador
4,El Amante,Nicky Jam,17663,Ecuador
5,Chantaje,Shakira,16879,Ecuador
6,Otra Vez (feat. J Balvin),Zion & Lennox,15278,Ecuador
7,Vacaciones,Wisin,13637,Ecuador
8,Safari,J Balvin,12530,Ecuador
9,Ay Mi Dios,IAmChino,11574,Ecuador
10,Vente Pa' Ca,Ricky Martin,11182,Ecuador
1,Shape of You,Ed Sheeran,197967,France
2,Tchoin,Kaaris,109318,France
3,Je m'en vais,Vianney,105475,France
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,103562,France
5,Afro Trap Pt. 7 (La puissance),MHD,101512,France
6,Tout l'monde s'en fout,Sofiane,94817,France
7,Bazardée,KeBlack,92150,France
8,Tuesday,Burak Yeter,88040,France
9,Sunset Lover,Petit Biscuit,86261,France
10,Mauvaise graine,Nekfeu,84082,France
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,376615,Argentina
2,Reggaetón Lento (Bailemos),CNCO,195906,Argentina
3,Chantaje,Shakira,170048,Argentina
4,Cuando Se Pone a Bailar,Rombai,154424,Argentina
5,Otra Vez (feat. J Balvin),Zion & Lennox,123791,Argentina
6,El Amante,Nicky Jam,120908,Argentina
7,Shape of You,Ed Sheeran,119201,Argentina
8,Vente Pa' Ca,Ricky Martin,116437,Argentina
9,Safari,J Balvin,113658,Argentina
10,Vacaciones,Wisin,108785,Argentina
1,Shape of You,Ed Sheeran,100689,Finland
2,Hulluuden Highway,Haloo Helsinki!,76648,Finland
3,Alone,Alan Walker,57710,Finland
4,Paris,The Chainsmokers,56101,Finland
5,Mixet Tahdo,Mäkki,54978,Finland
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,53606,Finland
7,Turvasana,Jenni Vartiainen,49852,Finland
8,Scared to Be Lonely,Martin Garrix,49202,Finland
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,49156,Finland
10,Sunnuntaisin,Janne Ordén,48054,Finland
1,Shape of You,Ed Sheeran,204535,Norway
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,124939,Norway
3,Paris,The Chainsmokers,120880,Norway
4,Scared to Be Lonely,Martin Garrix,101052,Norway
5,Alone,Alan Walker,100539,Norway
6,Castle on the Hill,Ed Sheeran,95169,Norway
7,Issues,Julia Michaels,92841,Norway
8,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,91284,Norway
9,Hear Me Now,Alok,85297,Norway
10,Lighthouse - Andrelli Remix,Hearts & Colors,81719,Norway
1,Shape of You,Ed Sheeran,195827,Italy
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,127356,Italy
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,89225,Italy
4,Paris,The Chainsmokers,85382,Italy
5,Assenzio,J-AX,84316,Italy
6,Castle on the Hill,Ed Sheeran,84173,Italy
7,Chantaje,Shakira,74104,Italy
8,Don't Wanna Know,Maroon 5,71185,Italy
9,Despacito (Featuring Daddy Yankee),Luis Fonsi,71011,Italy
10,Closer,The Chainsmokers,67855,Italy
1,Shape of You,Ed Sheeran,6792,Lithuania
2,Paris,The Chainsmokers,3649,Lithuania
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3385,Lithuania
