Position,Track,Artist,Streams,ADMIN
8,Dusk Till Dawn - Radio Edit,ZAYN,2281,Estonia
9,What Lovers Do (feat. SZA),Maroon 5,2212,Estonia
10,So Far Away,Martin Garrix,2200,Estonia
1,?mkans?z?m,Ezhel,82193,Turkey
2,?ki A??k,Ersay Üner,75259,Turkey
3,rockstar,Post Malone,69362,Turkey
4,Ete?i Belinde,Manu? Baba,64825,Turkey
5,Geceler,Ezhel,56265,Turkey
6,Havana,Camila Cabello,51165,Turkey
7,?ehrimin Tad?,Ezhel,50213,Turkey
8,New Rules,Dua Lipa,49139,Turkey
9,Dönersen Isl?k Çal,Manu? Baba,46487,Turkey
10,Dusk Till Dawn - Radio Edit,ZAYN,36551,Turkey
1,rockstar,Post Malone,1954704,United States
2,Gucci Gang,Lil Pump,1317223,United States
3,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,1286639,United States
4,I Fall Apart,Post Malone,1106402,United States
5,Candy Paint,Post Malone,1088651,United States
6,Ric Flair Drip (& Metro Boomin),Offset,1040394,United States
7,No Limit,G-Eazy,963995,United States
8,Havana,Camila Cabello,931928,United States
9,Plain Jane,A$AP Ferg,921286,United States
10,Bank Account,21 Savage,898577,United States
1,Sensualidad,Bad Bunny,7949,El Salvador
2,Criminal,Natti Natasha,7748,El Salvador
3,Se Preparó,Ozuna,6146,El Salvador
4,Échame La Culpa,Luis Fonsi,5481,El Salvador
5,Mayores,Becky G,4911,El Salvador
6,Me Rehúso,Danny Ocean,4909,El Salvador
7,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,4904,El Salvador
8,Que Va,Alex Sensation,4863,El Salvador
9,Vuelve,Daddy Yankee,4685,El Salvador
10,Robarte un Beso,Carlos Vives,4499,El Salvador
1,Se Preparó,Ozuna,24589,Costa Rica
2,Criminal,Natti Natasha,23817,Costa Rica
3,Sensualidad,Bad Bunny,21367,Costa Rica
4,Quiero Repetir,Ozuna,21191,Costa Rica
5,Échame La Culpa,Luis Fonsi,17864,Costa Rica
6,Olha a Explosão,MC Kevinho,17433,Costa Rica
7,Mayores,Becky G,16986,Costa Rica
8,Me Rehúso,Danny Ocean,16515,Costa Rica
9,Que Va,Alex Sensation,14591,Costa Rica
10,New Rules,Dua Lipa,14558,Costa Rica
1,Was Du Liebe nennst,Bausa,596410,Germany
2,Ave Maria,Kollegah,592598,Germany
3,Rap wieder Rap,Kollegah,536098,Germany
4,Es wird Zeit,Kollegah,494112,Germany
5,Studiogangster,Kollegah,463435,Germany
6,Wenn der Gegner am Boden liegt,Kollegah,444845,Germany
7,Jung Brutal Gutaussehend 2017,Kollegah,425281,Germany
8,Düsseldorfer,Kollegah,421570,Germany
9,Gamechanger,Kollegah,410879,Germany
10,Jagdsaison,Kollegah,398621,Germany
1,Échame La Culpa,Luis Fonsi,216259,Chile
2,Sensualidad,Bad Bunny,212986,Chile
3,Criminal,Natti Natasha,184264,Chile
4,Se Preparó,Ozuna,161391,Chile
5,Mayores,Becky G,144624,Chile
6,Que Va,Alex Sensation,141994,Chile
7,Perro Fiel,Shakira,135672,Chile
8,Báilame - Remix,Nacho,135446,Chile
9,Olha a Explosão,MC Kevinho,129924,Chile
10,Me Rehúso,Danny Ocean,125385,Chile
1,Shape of You,Ed Sheeran,22217,Japan
2,Wolves,Selena Gomez,17300,Japan
