Company,new_foreign_worker_count
UNIVERSITY,30
DELOITTE,33
MERRIFIELD,34
"Anthem,",34
HADIAMONDSTAR,38
USM,38
MICRON,39
CLEANERS,41
"IDEXCEL,",51
MICROSTRATEGY,58
GEORGE'S,61
MUY,104
CGI,134
CAPITAL,150
GEORGE'Sa,305
