Company,new_foreign_worker_count
CISCO,12
POLAR,13
QUALITY,13
Ramnarain,15
PACE,16
UNIFY,17
QUALITYa,19
BILL,20
HUGHES,22
CHAGS,25
SCEPTER,31
"INOVALON,",31
CLIENT,42
BALTIMORE,44
INFOSYS,71
