Company,new_foreign_worker_count
MURPHY,25
BELK,27
SAS,29
"INFOMERICA,",30
LOWE'S,36
DB,45
BANK,53
MUY,55
CISCO,71
FMR,77
HCL,127
WAYNE,148
CASE,350
Defender,366
HOUSE,367
