Company,new_foreign_worker_count
SYMANTEC,10
DELOITTE,11
ST.,11
POWEROBJECTSa,11
SAGITEC,11
Ameriprise,13
U.S.,14
"MEDTRONIC,",16
OASYS,16
SEAGATE,21
CUMMINS,23
MAYO,24
OPTUM,33
UNIVERSITY,43
MUY,58
