Company,new_foreign_worker_count
HOSPITAL,4
UNIVERSITY,4
ALMA,4
BLUE,5
CENTURYTEL,5
Lakeview,7
TULANE,7
ST.,8
LSU,9
Bayou,9
INFOSYS,10
EAST,13
LOUISIANA,13
COMTEC,22
FERRARA,23
