year,United States,Russia,Philippines,Congo,Sudan,Somalia,Nigeria,Sri Lanka,India,Pakistan,Afghanistan,Algeria,Yemen,Syria,Iraq
2000,0,362,290,40,27,36,20,449,671,118,38,528,19,0,10
2001,3003,228,154,15,13,3,3,194,658,109,174,624,2,0,9
2002,4,512,125,16,588,6,28,3,593,105,74,615,4,0,10
2003,0,328,288,154,0,7,28,23,472,119,163,269,16,0,347
2004,0,607,206,22,28,6,41,30,334,304,275,166,0,4,2146
2005,0,156,49,22,54,20,19,125,462,150,367,228,12,0,3380
2006,1,57,60,23,484,22,254,1012,722,314,731,185,14,5,4612
2007,0,55,115,72,317,408,82,410,626,1406,1197,279,24,0,6648
2008,2,95,220,319,205,436,72,352,763,1184,1089,249,74,18,2863
2009,18,141,152,824,77,381,316,201,774,1487,1064,204,47,0,2583
2010,4,231,155,118,81,295,117,2,812,1695,1058,109,345,0,2071
2011,0,160,127,50,193,344,447,0,484,1655,1521,25,461,163,1864
2012,7,161,210,288,60,775,1504,0,264,2783,3521,30,1056,876,2688
2013,22,148,432,150,220,646,2013,0,467,2874,3696,101,624,1558,7038
2014,19,67,472,366,546,1581,7773,3,490,2412,5413,37,1348,3300,13075
2015,44,21,444,367,210,1389,5351,3,387,1606,6208,21,2373,3916,8831
