Position,Track Name,Artist,Streams,ADMIN
1,Felices los 4,Maluma,24729,Ecuador
2,Me Rehúso,Danny Ocean,22461,Ecuador
3,Shape of You,Ed Sheeran,20001,Ecuador
4,Despacito - Remix,Luis Fonsi,19617,Ecuador
5,Despacito (Featuring Daddy Yankee),Luis Fonsi,17925,Ecuador
6,Báilame,Nacho,16612,Ecuador
7,SUBEME LA RADIO,Enrique Iglesias,15635,Ecuador
8,El Amante,Nicky Jam,14993,Ecuador
9,Hey DJ,CNCO,13719,Ecuador
10,Escápate Conmigo,Wisin,13510,Ecuador
1,?. Macarena,Damso,181535,France
2,?. Nwaar Is The New Black,Damso,173078,France
3,?. Mosaïque solitaire,Damso,156537,France
4,B. #QuedusaalVie,Damso,156428,France
5,Shape of You,Ed Sheeran,145472,France
6,?. Signaler,Damso,137278,France
7,?. Kietu,Damso,129035,France
8,?. Dieu ne ment jamais,Damso,122181,France
9,N. J Respect R,Damso,121197,France
10,Despacito - Remix,Luis Fonsi,109805,France
1,Despacito - Remix,Luis Fonsi,223783,Argentina
2,Felices los 4,Maluma,192502,Argentina
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,187610,Argentina
4,SUBEME LA RADIO,Enrique Iglesias,153802,Argentina
5,Shape of You,Ed Sheeran,151818,Argentina
6,El Amante,Nicky Jam,149680,Argentina
7,Me Rehúso,Danny Ocean,144507,Argentina
8,Ahora Dice,Chris Jeday,143645,Argentina
9,Escápate Conmigo,Wisin,126466,Argentina
10,La Rompe Corazones,Daddy Yankee,121736,Argentina
1,Despacito - Remix,Luis Fonsi,86627,Finland
2,Pettävällä Jäällä - Vain Elämää Kausi 6,Nikke Ankara,75958,Finland
3,Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6,Robin,68026,Finland
4,Karjala Takas,Portion Boys,61115,Finland
5,Hula Hula,Robin,53891,Finland
6,Symphony (feat. Zara Larsson),Clean Bandit,52110,Finland
7,Antaudun,Reino Nordin,52108,Finland
8,Kyyneleet - Vain Elämää Kausi 6,Nikke Ankara,48302,Finland
9,Jokainen kyynel,Profeetat,47488,Finland
10,Shape of You,Ed Sheeran,44756,Finland
1,Despacito - Remix,Luis Fonsi,230900,Norway
2,Fy Faen,Hkeem,198124,Norway
