Position,Track,Artist,Streams,ADMIN
9,Sexual,NEIKED,21967,New Zealand
10,The Mack,Nevada,21878,New Zealand
1,Starboy,The Weeknd,1950,Estonia
2,Tuesday,Burak Yeter,1727,Estonia
3,Closer,The Chainsmokers,1692,Estonia
4,Alone,Alan Walker,1649,Estonia
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1638,Estonia
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1629,Estonia
7,Black Beatles,Rae Sremmurd,1427,Estonia
8,Say You Won't Let Go,James Arthur,1353,Estonia
9,I Feel It Coming,The Weeknd,1328,Estonia
10,Let Me Love You,DJ Snake,1296,Estonia
1,Gece Gölgenin Rahat?na Bak,Ça?atay Akman,80607,Turkey
2,Starboy,The Weeknd,44427,Turkey
3,Affet,Müslüm Gürses,34889,Turkey
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28400,Turkey
5,Let Me Love You,DJ Snake,25425,Turkey
6,Closer,The Chainsmokers,23032,Turkey
7,Haydi Söyle,Kalben,22231,Turkey
8,Heathens,Twenty One Pilots,21631,Turkey
9,One Dance,Drake,20857,Turkey
10,Lost on You,LP,20231,Turkey
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,United States
2,Fake Love,Drake,1180074,United States
3,Starboy,The Weeknd,1064351,United States
4,Closer,The Chainsmokers,1010492,United States
5,Black Beatles,Rae Sremmurd,874289,United States
6,Broccoli (feat. Lil Yachty),DRAM,763259,United States
7,One Dance,Drake,753150,United States
8,Caroline,Aminé,714839,United States
9,Let Me Love You,DJ Snake,690483,United States
10,Bounce Back,Big Sean,682688,United States
1,Reggaetón Lento (Bailemos),CNCO,5981,El Salvador
2,Otra Vez (feat. J Balvin),Zion & Lennox,5513,El Salvador
3,Chantaje,Shakira,5485,El Salvador
4,Safari,J Balvin,5033,El Salvador
5,Vente Pa' Ca,Ricky Martin,4102,El Salvador
6,Closer,The Chainsmokers,3827,El Salvador
7,La Bicicleta,Carlos Vives,3677,El Salvador
8,Let Me Love You,DJ Snake,3601,El Salvador
9,Shaky Shaky,Daddy Yankee,3528,El Salvador
10,Dile Que Tu Me Quieres,Ozuna,3044,El Salvador
1,Reggaetón Lento (Bailemos),CNCO,20171,Costa Rica
2,Chantaje,Shakira,18779,Costa Rica
3,Otra Vez (feat. J Balvin),Zion & Lennox,18196,Costa Rica
4,Safari,J Balvin,18035,Costa Rica
5,La Bicicleta,Carlos Vives,14388,Costa Rica
6,Vente Pa' Ca,Ricky Martin,13366,Costa Rica
7,Let Me Love You,DJ Snake,12411,Costa Rica
8,One Dance,Drake,11701,Costa Rica
9,Chillax,Farruko,11661,Costa Rica
10,Closer,The Chainsmokers,11553,Costa Rica
1,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,229398,Germany
