Position,Track,Artist,Streams,ADMIN
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,27598,Ecuador
2,Shape of You,Ed Sheeran,22618,Ecuador
3,Me Rehúso,Danny Ocean,21398,Ecuador
4,El Amante,Nicky Jam,17481,Ecuador
5,SUBEME LA RADIO,Enrique Iglesias,16805,Ecuador
6,Otra Vez (feat. J Balvin),Zion & Lennox,13899,Ecuador
7,Reggaetón Lento (Bailemos),CNCO,12707,Ecuador
8,Chantaje,Shakira,11183,Ecuador
9,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,10413,Ecuador
10,Ay Mi Dios,IAmChino,10262,Ecuador
1,Shape of You,Ed Sheeran,224763,France
2,Oh bah oui,Lacrim,183291,France
3,You Don't Know Me - Radio Edit,Jax Jones,121462,France
4,2 Pac,Lacrim,117187,France
5,Mask Off,Future,117140,France
6,It Ain't Me (with Selena Gomez),Kygo,112921,France
7,Grande armée,Lacrim,108131,France
8,Call On Me - Ryan Riback Extended Remix,Starley,104340,France
9,Be Mine,Ofenbach,102776,France
10,Colonel Carrillo,Lacrim,101340,France
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,306716,Argentina
2,El Amante,Nicky Jam,189310,Argentina
3,SUBEME LA RADIO,Enrique Iglesias,187749,Argentina
4,Shape of You,Ed Sheeran,185567,Argentina
5,La Rompe Corazones,Daddy Yankee,150052,Argentina
6,Reggaetón Lento (Bailemos),CNCO,146156,Argentina
7,Cuando Se Pone a Bailar,Rombai,127081,Argentina
8,Chantaje,Shakira,122333,Argentina
9,Otra Vez (feat. J Balvin),Zion & Lennox,121763,Argentina
10,Me Rehúso,Danny Ocean,117624,Argentina
1,Shape of You,Ed Sheeran,71414,Finland
2,Rahan takii,Antti Tuisku,70368,Finland
3,Symphony (feat. Zara Larsson),Clean Bandit,66917,Finland
4,Antaudun,Reino Nordin,66740,Finland
5,Lapioin,Arttu Lindeman,61990,Finland
6,Hula Hula,Robin,59230,Finland
7,Mä En Kestä,Laura Voutilainen,58307,Finland
8,Sitä säät mitä tilaat (feat. Ellinoora),JVG,58270,Finland
