day	hour	value
1	1	81
1	2	70
1	3	71
1	4	72
1	5	72
2	1	63
2	2	99
2	3	82
2	4	84
2	5	44
3	1	98
3	2	69
3	3	73
3	4	90
3	5	53
4	1	88
4	2	72
4	3	82
4	4	62
4	5	74
5	1	82
5	2	52
5	3	86
5	4	58
5	5	46
6	1	49
6	2	92
6	3	95
6	4	74
6	5	95
7	1	56
7	2	59
7	3	77
7	4	66
7	5	40
