day	hour	value
1	1	63
1	2	26
1	3	30
1	4	58
1	5	62
2	1	69
2	2	49
2	3	34
2	4	37
2	5	20
3	1	29
3	2	69
3	3	40
3	4	20
3	5	21
4	1	20
4	2	26
4	3	58
4	4	47
4	5	53
5	1	32
5	2	26
5	3	34
5	4	37
5	5	35
6	1	34
6	2	67
6	3	60
6	4	44
6	5	67
7	1	31
7	2	28
7	3	50
7	4	50
7	5	56
