day	hour	value
1	1	58
1	2	51
1	3	64
1	4	73
1	5	57
2	1	38
2	2	63
2	3	51
2	4	38
2	5	63
3	1	34
3	2	73
3	3	30
3	4	70
3	5	28
4	1	74
4	2	72
4	3	42
4	4	56
4	5	70
5	1	61
5	2	32
5	3	57
5	4	66
5	5	36
6	1	59
6	2	46
6	3	45
6	4	58
6	5	58
7	1	38
7	2	30
7	3	52
7	4	35
7	5	53
