day	hour	value
1	1	82
1	2	58
1	3	69
1	4	49
1	5	73
2	1	56
2	2	38
2	3	55
2	4	57
2	5	59
3	1	82
3	2	66
3	3	62
3	4	56
3	5	52
4	1	50
4	2	32
4	3	56
4	4	42
4	5	59
5	1	34
5	2	58
5	3	48
5	4	82
5	5	85
6	1	56
6	2	56
6	3	85
6	4	73
6	5	77
7	1	72
7	2	80
7	3	30
7	4	49
7	5	72
